bulletin_date,municipality,confirmed_cases,confirmed_cases_percent
2020-04-24,Adjuntas,3,0.3
2020-04-24,Aguada,5,0.6
2020-04-24,Aguadilla,12,1.4
2020-04-24,Aguas Buenas,11,1.3
2020-04-24,Aibonito,4,0.5
2020-04-24,Añasco,3,0.3
2020-04-24,Arecibo,14,1.6
2020-04-24,Arroyo,1,0.1
2020-04-24,Barranquitas,2,0.2
2020-04-24,Bayamón,42,4.8
2020-04-24,Cabo Rojo,15,1.7
2020-04-24,Caguas,36,4.1
2020-04-24,Camuy,1,0.1
2020-04-24,Canóvanas,11,1.3
2020-04-24,Carolina,54,6.2
2020-04-24,Cataño,6,0.7
2020-04-24,Cayey,5,0.6
2020-04-24,Ceiba,6,0.7
2020-04-24,Cidra,9,1.0
2020-04-24,Coamo,2,0.2
2020-04-24,Comerío,2,0.2
2020-04-24,Corozal,3,0.3
2020-04-24,Dorado,11,1.3
2020-04-24,Guánica,8,0.9
2020-04-24,Guayama,3,0.3
2020-04-24,Guayanilla,3,0.3
2020-04-24,Guaynabo,56,6.4
2020-04-24,Gurabo,8,0.9
2020-04-24,Hatillo,5,0.6
2020-04-24,Hormigueros,7,0.8
2020-04-24,Humacao,4,0.5
2020-04-24,Isabela,7,0.8
2020-04-24,Jayuya,2,0.2
2020-04-24,Juana Díaz,8,0.9
2020-04-24,Juncos,5,0.6
2020-04-24,Lajas,3,0.3
2020-04-24,Lares,3,0.3
2020-04-24,Las Marías,4,0.5
2020-04-24,Las Piedras,5,0.6
2020-04-24,Loíza,1,0.1
2020-04-24,Luquillo,5,0.6
2020-04-24,Manatí,1,0.1
2020-04-24,Maunabo,3,0.3
2020-04-24,Mayagüez,31,3.5
2020-04-24,Moca,12,1.4
2020-04-24,Morovis,1,0.1
2020-04-24,Naguabo,1,0.1
2020-04-24,Orocovis,2,0.2
2020-04-24,Patillas,3,0.3
2020-04-24,Peñuelas,2,0.2
2020-04-24,Ponce,21,2.4
2020-04-24,Quebradillas,13,1.5
2020-04-24,Rincón,2,0.2
2020-04-24,Río Grande,8,0.9
2020-04-24,Sabana Grande,9,1.0
2020-04-24,Salinas,3,0.3
2020-04-24,San Germán,12,1.4
2020-04-24,San Juan,150,17.1
2020-04-24,San Lorenzo,1,0.1
2020-04-24,San Sebastián,17,1.9
2020-04-24,Santa Isabel,2,0.2
2020-04-24,Toa Alta,19,2.2
2020-04-24,Toa Baja,18,2.1
2020-04-24,Trujillo Alto,22,2.5
2020-04-24,Vega Alta,10,1.1
2020-04-24,Vega Baja,7,0.8
2020-04-24,Villalba,5,0.6
2020-04-24,Yabucoa,3,0.3
2020-04-24,Yauco,14,1.6
2020-04-24,Nueva York,4,
2020-04-24,Nueva Jersey,1,
2020-04-24,No disponible,86,
2020-04-24,Total,878,
2020-04-25,Adjuntas,3,0.4
2020-04-25,Aguada,6,0.7
2020-04-25,Aguadilla,12,1.5
2020-04-25,Aguas Buenas,11,1.4
2020-04-25,Aibonito,4,0.5
2020-04-25,Añasco,3,0.4
2020-04-25,Arecibo,14,1.7
2020-04-25,Arroyo,1,0.1
2020-04-25,Barranquitas,2,0.2
2020-04-25,Bayamón,43,5.4
2020-04-25,Cabo Rojo,15,1.9
2020-04-25,Caguas,36,4.5
2020-04-25,Camuy,1,0.1
2020-04-25,Canóvanas,11,1.4
2020-04-25,Carolina,55,6.9
2020-04-25,Cataño,6,0.7
2020-04-25,Cayey,5,0.6
2020-04-25,Ceiba,6,0.7
2020-04-25,Cidra,9,1.1
2020-04-25,Coamo,2,0.2
2020-04-25,Comerío,2,0.2
2020-04-25,Corozal,3,0.4
2020-04-25,Dorado,11,1.4
2020-04-25,Guánica,10,1.2
2020-04-25,Guayama,3,0.4
2020-04-25,Guayanilla,3,0.4
2020-04-25,Guaynabo,58,7.2
2020-04-25,Gurabo,8,1.0
2020-04-25,Hatillo,5,0.6
